date,tweets,increase,country
02/14/2020,419,17,GB
02/15/2020,422,3,GB
02/16/2020,430,8,GB
02/17/2020,442,12,GB
02/18/2020,464,22,GB
02/19/2020,490,26,GB
02/20/2020,502,12,GB
02/21/2020,519,17,GB
02/22/2020,531,12,GB
02/23/2020,557,26,GB
02/24/2020,578,21,GB
02/25/2020,610,32,GB
02/26/2020,615,5,GB
02/27/2020,637,22,GB
02/28/2020,767,130,GB
02/29/2020,820,53,GB
03/01/2020,875,55,GB
03/02/2020,933,58,GB
03/03/2020,993,60,GB
03/04/2020,1066,73,GB
03/05/2020,1151,85,GB
03/06/2020,1252,101,GB
03/07/2020,1340,88,GB
03/08/2020,1418,78,GB
03/09/2020,1471,53,GB
03/11/2020,1556,85,GB
03/12/2020,1799,243,GB
03/13/2020,2187,388,GB
03/14/2020,2568,381,GB
03/15/2020,2922,354,GB
03/16/2020,3392,470,GB
03/17/2020,4018,626,GB
03/18/2020,4612,594,GB
03/19/2020,5185,573,GB
03/20/2020,5782,597,GB
03/21/2020,6278,496,GB
03/22/2020,6730,452,GB
03/23/2020,7315,585,GB
03/24/2020,7917,602,GB
03/25/2020,8488,571,GB
03/26/2020,9075,587,GB
03/27/2020,9504,429,GB
03/28/2020,10462,958,GB
03/29/2020,11366,904,GB
03/30/2020,11536,170,GB
03/31/2020,11935,399,GB
04/01/2020,12042,107,GB
04/02/2020,12249,207,GB
04/03/2020,12631,382,GB
04/04/2020,13018,387,GB
04/05/2020,13383,365,GB
04/06/2020,13669,286,GB
04/07/2020,14046,377,GB
04/08/2020,14062,16,GB
04/09/2020,14094,32,GB
04/10/2020,14436,342,GB
04/11/2020,14755,319,GB
04/12/2020,15052,297,GB
04/13/2020,15319,267,GB
04/14/2020,15479,160,GB
04/15/2020,15765,286,GB
04/16/2020,16029,264,GB
04/17/2020,16264,235,GB
04/18/2020,16511,247,GB
04/19/2020,16783,272,GB
04/20/2020,17030,247,GB
04/21/2020,17278,248,GB
04/22/2020,17560,282,GB
04/23/2020,17826,266,GB
04/24/2020,18084,258,GB
04/26/2020,18355,271,GB
04/27/2020,18571,216,GB
04/28/2020,18808,237,GB
04/29/2020,18994,186,GB
04/30/2020,19232,238,GB
05/01/2020,19496,264,GB
05/02/2020,19688,192,GB
05/03/2020,19822,134,GB
05/04/2020,19826,4,GB
05/05/2020,20016,190,GB
05/06/2020,20229,213,GB
05/07/2020,20423,194,GB
05/08/2020,20620,197,GB
05/09/2020,20799,179,GB
05/10/2020,21008,209,GB
05/11/2020,21212,204,GB
05/12/2020,21439,227,GB
05/13/2020,21448,9,GB
05/14/2020,21516,68,GB
01/20/2020,1,0,PL
01/21/2020,3,2,PL
01/22/2020,7,4,PL
01/23/2020,17,10,PL
01/24/2020,30,13,PL
01/25/2020,40,10,PL
01/26/2020,54,14,PL
01/27/2020,62,8,PL
01/28/2020,63,1,PL
01/29/2020,78,15,PL
01/30/2020,89,11,PL
01/31/2020,110,21,PL
02/01/2020,127,17,PL
02/02/2020,140,13,PL
02/03/2020,149,9,PL
02/04/2020,163,14,PL
02/05/2020,176,13,PL
02/06/2020,180,4,PL
02/07/2020,196,16,PL
02/08/2020,209,13,PL
02/09/2020,215,6,PL
02/10/2020,233,18,PL
02/11/2020,241,8,PL
02/12/2020,258,17,PL
02/13/2020,268,10,PL
02/14/2020,273,5,PL
02/15/2020,274,1,PL
02/16/2020,281,7,PL
02/17/2020,296,15,PL
02/18/2020,312,16,PL
02/19/2020,319,7,PL
02/20/2020,330,11,PL
02/21/2020,342,12,PL
02/22/2020,351,9,PL
02/23/2020,362,11,PL
02/24/2020,378,16,PL
02/25/2020,390,12,PL
02/27/2020,393,3,PL
02/28/2020,433,40,PL
02/29/2020,447,14,PL
03/01/2020,453,6,PL
03/02/2020,455,2,PL
03/04/2020,457,2,PL
03/05/2020,458,1,PL
03/06/2020,461,3,PL
03/07/2020,469,8,PL
03/08/2020,473,4,PL
03/09/2020,480,7,PL
03/11/2020,484,4,PL
03/12/2020,501,17,PL
03/13/2020,523,22,PL
03/14/2020,549,26,PL
03/15/2020,572,23,PL
03/16/2020,589,17,PL
03/17/2020,618,29,PL
03/18/2020,642,24,PL
03/19/2020,656,14,PL
03/20/2020,678,22,PL
03/21/2020,703,25,PL
03/22/2020,721,18,PL
03/23/2020,744,23,PL
03/24/2020,762,18,PL
03/25/2020,781,19,PL
03/26/2020,801,20,PL
03/27/2020,833,32,PL
03/28/2020,869,36,PL
03/29/2020,897,28,PL
03/30/2020,905,8,PL
03/31/2020,936,31,PL
04/01/2020,944,8,PL
04/02/2020,955,11,PL
04/03/2020,981,26,PL
04/04/2020,995,14,PL
04/05/2020,1006,11,PL
04/06/2020,1033,27,PL
04/07/2020,1054,21,PL
04/08/2020,1056,2,PL
04/09/2020,1059,3,PL
04/10/2020,1082,23,PL
04/11/2020,1104,22,PL
04/12/2020,1123,19,PL
04/13/2020,1149,26,PL
04/14/2020,1161,12,PL
04/15/2020,1175,14,PL
04/16/2020,1192,17,PL
04/17/2020,1211,19,PL
04/18/2020,1226,15,PL
04/19/2020,1240,14,PL
04/20/2020,1250,10,PL
04/21/2020,1266,16,PL
04/22/2020,1287,21,PL
04/23/2020,1297,10,PL
04/24/2020,1312,15,PL
04/26/2020,1324,12,PL
04/27/2020,1334,10,PL
04/28/2020,1346,12,PL
04/29/2020,1359,13,PL
04/30/2020,1375,16,PL
05/01/2020,1385,10,PL
05/02/2020,1393,8,PL
05/03/2020,1403,10,PL
05/05/2020,1415,12,PL
05/06/2020,1428,13,PL
05/07/2020,1442,14,PL
05/08/2020,1453,11,PL
05/09/2020,1460,7,PL
05/10/2020,1474,14,PL
05/11/2020,1490,16,PL
05/12/2020,1510,20,PL
05/13/2020,1514,4,PL
05/14/2020,1525,11,PL
01/20/2020,2,0,SA
01/23/2020,5,3,SA
01/25/2020,7,2,SA
01/26/2020,8,1,SA
01/28/2020,9,1,SA
01/30/2020,10,1,SA
01/31/2020,11,1,SA
02/01/2020,12,1,SA
02/02/2020,13,1,SA
02/03/2020,14,1,SA
02/04/2020,15,1,SA
02/05/2020,17,2,SA
02/07/2020,20,3,SA
02/09/2020,21,1,SA
02/10/2020,24,3,SA
02/11/2020,26,2,SA
02/12/2020,27,1,SA
02/13/2020,29,2,SA
02/16/2020,31,2,SA
02/19/2020,32,1,SA
02/20/2020,34,2,SA
02/22/2020,35,1,SA
02/26/2020,37,2,SA
02/28/2020,44,7,SA
03/01/2020,47,3,SA
03/02/2020,50,3,SA
03/03/2020,54,4,SA
03/04/2020,56,2,SA
03/05/2020,61,5,SA
03/06/2020,66,5,SA
03/07/2020,67,1,SA
03/08/2020,69,2,SA
03/09/2020,71,2,SA
03/11/2020,72,1,SA
03/12/2020,79,7,SA
03/13/2020,91,12,SA
03/14/2020,99,8,SA
03/15/2020,105,6,SA
03/16/2020,116,11,SA
03/17/2020,124,8,SA
03/18/2020,134,10,SA
03/19/2020,142,8,SA
03/20/2020,155,13,SA
03/21/2020,172,17,SA
03/22/2020,185,13,SA
03/23/2020,195,10,SA
03/24/2020,208,13,SA
03/25/2020,215,7,SA
03/26/2020,225,10,SA
03/27/2020,233,8,SA
03/28/2020,259,26,SA
03/29/2020,291,32,SA
03/30/2020,293,2,SA
03/31/2020,297,4,SA
04/01/2020,300,3,SA
04/02/2020,303,3,SA
04/03/2020,312,9,SA
04/04/2020,318,6,SA
04/05/2020,328,10,SA
04/06/2020,336,8,SA
04/07/2020,345,9,SA
04/08/2020,346,1,SA
04/09/2020,349,3,SA
04/10/2020,357,8,SA
04/11/2020,358,1,SA
04/12/2020,366,8,SA
04/13/2020,372,6,SA
04/15/2020,376,4,SA
04/16/2020,378,2,SA
04/17/2020,384,6,SA
04/18/2020,387,3,SA
04/19/2020,391,4,SA
04/20/2020,395,4,SA
04/21/2020,399,4,SA
04/22/2020,403,4,SA
04/23/2020,405,2,SA
04/24/2020,406,1,SA
04/26/2020,408,2,SA
04/27/2020,410,2,SA
04/28/2020,412,2,SA
04/29/2020,418,6,SA
04/30/2020,424,6,SA
05/01/2020,426,2,SA
05/02/2020,427,1,SA
05/03/2020,430,3,SA
05/04/2020,435,5,SA
05/05/2020,437,2,SA
05/06/2020,441,4,SA
05/07/2020,448,7,SA
05/08/2020,450,2,SA
05/09/2020,451,1,SA
05/10/2020,454,3,SA
05/11/2020,459,5,SA
05/12/2020,460,1,SA
05/14/2020,461,1,SA
01/20/2020,7,0,US
01/21/2020,41,34,US
01/22/2020,72,31,US
01/23/2020,111,39,US
01/24/2020,161,50,US
01/25/2020,224,63,US
01/26/2020,282,58,US
01/27/2020,341,59,US
01/28/2020,380,39,US
01/29/2020,462,82,US
01/30/2020,550,88,US
01/31/2020,643,93,US
02/01/2020,724,81,US
02/02/2020,789,65,US
02/03/2020,856,67,US
02/04/2020,912,56,US
02/05/2020,975,63,US
02/06/2020,1046,71,US
02/07/2020,1095,49,US
02/08/2020,1144,49,US
02/09/2020,1198,54,US
02/10/2020,1246,48,US
02/11/2020,1313,67,US
02/12/2020,1359,46,US
02/13/2020,1421,62,US
02/14/2020,1456,35,US
02/15/2020,1468,12,US
02/16/2020,1491,23,US
02/17/2020,1518,27,US
02/18/2020,1561,43,US
02/19/2020,1611,50,US
02/20/2020,1666,55,US
02/21/2020,1721,55,US
02/22/2020,1795,74,US
02/23/2020,1813,18,US
02/24/2020,1843,30,US
02/25/2020,1871,28,US
02/26/2020,1884,13,US
02/27/2020,1975,91,US
02/28/2020,2337,362,US
02/29/2020,2678,341,US
03/01/2020,2866,188,US
03/02/2020,3125,259,US
03/03/2020,3390,265,US
03/04/2020,3741,351,US
03/05/2020,4117,376,US
03/06/2020,4574,457,US
03/07/2020,4962,388,US
03/08/2020,5272,310,US
03/09/2020,5509,237,US
03/11/2020,6078,569,US
03/12/2020,7711,1633,US
03/13/2020,10575,2864,US
03/14/2020,13043,2468,US
03/15/2020,15608,2565,US
03/16/2020,18573,2965,US
03/17/2020,21836,3263,US
03/18/2020,24642,2806,US
03/19/2020,27580,2938,US
03/20/2020,30665,3085,US
03/21/2020,33792,3127,US
03/22/2020,36699,2907,US
03/23/2020,39280,2581,US
03/24/2020,41766,2486,US
03/25/2020,44300,2534,US
